動畫名稱,ID,集數,年份,季節,字幕組
元祖！BanG Dream Chan,1739,連載中(15),2025,秋,
可以幫忙洗乾淨嗎？,1828,連載中(02),2026,冬,黑白
非人學生與厭世教師,1825,連載中(02),2026,冬,桜都
魔王的女兒太溫柔了！！,1821,連載中(03),2026,冬,桜都
東島丹三郎想成為假面騎士,1749,連載中(15),2025,秋,
勇者之渣,1812,連載中(02),2026,冬,
GNOSIA,1769,連載中(14),2025,秋,
Fate/strange Fake,1572,連載中(03),2024,秋,
死亡帳號,1815,連載中(02),2026,冬,
TRIGUN STARGAZE,1814,連載中(02),2026,冬,
轉生之後的我變成了龍蛋～目標是世界最強～,1813,連載中(02),2026,冬,
青之壬生浪 芹澤暗殺篇(第二季),1786,連載中(04),2026,冬,
葬送的芙莉蓮 第二季,1833,連載中(29),2026,冬,
炎炎消防隊 參之章(第三季),1631,連載中(14),2025/2026,春/冬,
地獄模式 ～喜歡挑戰特殊成就的玩家在廢設定的異世界成為無雙～,1809,連載中(02),2026,冬,
DARK MOON：月之神壇,1810,連載中(02),2026,冬,
和機器人啪啪啪能算在經驗人數裡嗎？？,1811,連載中(02),2026,冬,
高校！奇面組,1808,連載中(02),2026,冬,
卡片戰鬥!! 先導者 Divinez 第五季 幻真星戰篇,1832,連載中(01),2026,冬,
"<a href=""https://anime1.pw/?cat=58"">草莓哀歌～缺根筋的活潑妹妹與無法釋懷的哥哥～</a>",0,連載中(01),2026,冬,桜都
"<a href=""https://anime1.pw/?cat=57"">有栖川煉其實是個女生吧。</a>",0,連載中(01),2026,冬,桜都
Princession Orchestra,1663,連載中(37),2025,春,雪飄
被鄰國王子溺愛的反派千金,1830,連載中(01),2026,冬,六四位元
皎潔深宵之月,1829,連載中(01),2026,冬,六四位元
為了疼愛最推的義兄，我要長久活下去！,1827,連載中(02),2026,冬,奶²
地獄樂 第二季,1826,連載中(14),2026,冬,豌豆&風之聖殿
秘密的偶像公主 第二季,1646,連載中(40),2025,春,雪飄
達爾文事變,1824,連載中(02),2026,冬,
黃金神威 第五季,1823,連載中(02),2026,冬,幻櫻
29歲單身中堅冒險家的日常,1822,連載中(02),2026,冬,SFSub&六四位元
蘑菇魔女,1805,連載中(03),2026,冬,
終究，與你相戀。 第二季,1807,連載中(02),2026,冬,
咒術迴戰 死滅迴游 前篇,1806,連載中(50),2026,冬,
魔都精兵的奴隸 第二季,1802,連載中(02),2026,冬,
「憑妳也想討伐魔王？」被勇者小隊逐出隊伍，只好在王都自在過活,1804,連載中(02),2026,冬,
MF GHOST 燃油車鬥魂 第三季,1784,連載中(03),2026,冬,
厄里斯的聖杯,1803,連載中(02),2026,冬,
透明男子與人類女孩～兩人遲早會成為夫妻～,1801,連載中(02),2026,冬,
判處勇者刑,1785,連載中(02),2026,冬,
無尾熊繪日記,1768,連載中(16),2025,秋,
現在的是哪一個多聞！？,1782,連載中(03),2026,冬,
數碼寶貝BEATBREAK,1776,連載中(14),2025,秋,馴獸師聯盟
【我推的孩子】 第三季,1820,連載中(25),2026,冬,
優雅貴族的休假指南。,1800,連載中(02),2026,冬,
靠死亡遊戲混飯吃。,1797,連載中(02),2026,冬,
貴族轉生～得天眷顧一出生就獲得最強力量～,1799,連載中(02),2026,冬,
泛而不精的我被逐出了勇者隊伍,1781,連載中(03),2026,冬,
安逸領主的愉快領地防衛～用生產系魔術將無名村改造成最強要塞都市～,1798,連載中(02),2026,冬,
從前從前有隻貓！世界喵童話,1773,連載中(14),2025,秋,
阿爾涅事件簿,1796,連載中(02),2026,冬,
午夜的傾心旋律,1793,連載中(02),2026,冬,
身為魔族的我 想向勇者小隊的可愛女孩告白,1795,連載中(02),2026,冬,
異世界的處置依社畜而定,1794,連載中(02),2026,冬,
公主殿下，「拷問」的時間到了 第二季,1819,連載中(13),2026,冬,
青梅竹馬的戀愛喜劇無法成立,1791,連載中(02),2026,冬,
正義使者 -我的英雄學院之非法英雄- 第二季,1792,連載中(15),2026,冬,
藍色管弦樂 第二季,1757,連載中(14),2025,秋,
給不滅的你 第三季,1756,連載中(13),2025,秋,
大江戶烈火殺手 – 鳳凰傳說,1818,連載中(01),2026,冬,
相反的你和我,1817,連載中(01),2026,冬,
神八小妹不可怕,1816,連載中(01),2026,冬,
異國日記,1790,連載中(02),2026,冬,
打工仔的拷問日常,1789,連載中(02),2026,冬,
魔術師庫諾看得見一切,1788,連載中(03),2026,冬,
花樣少年少女,1787,連載中(03),2026,冬,
SI-VIS：英雄之聲,1751,連載中(14),2025,秋,
這裡是充滿笑容的職場。,1758,1-13,2025,秋,晚街與燈
渡同學的××瀕臨崩壞,1703,1-26,2025,夏,
寶可夢 地平線 超級電壓,1670,連載中(122),2025,春,楓葉
輝夜姬想讓人告白 邁向大人的階梯,1783,1,2025,秋,
彈珠汽水瓶裡的千歲同學,1764,連載中(10),2025,秋,
賽馬娘 灰髮灰姑娘,1656,1-23,2025,春/秋,桜都
不動聲色的柏田與喜形於色的太田,1775,1-12,2025,秋,綠茶
王者天下 第六季,1760,1-13,2025,秋,豌豆
一拳超人 第三季,1752,1-12,2025,秋,
魔法公主的小煩惱,1734,1-16,2025,秋,
不擅吸血的吸血鬼,1771,1-12,2025,秋,
SPY×FAMILY間諜家家酒 第三季,1745,1-13,2025,秋,
婚戒物語 第二季,1746,13-25,2025,秋,
娑婆氣,1742,1-13,2025,秋,
桃源暗鬼,1716,1-24,2025,夏,
對我垂涎欲滴的非人少女,1740,1-13,2025,秋,喵萌奶茶屋
WONDANCE—熱舞青春—,1777,1-12,2025,秋,
轉生惡女的黑歷史,1765,1-12,2025,秋,
擁有超常技能的異世界流浪美食家 第二季,1763,1-12,2025,秋,
身為暗殺者的我明顯比勇者還強,1762,1-12,2025,秋,
銀魂 3年Z班銀八老師,1759,1-12,2025,秋,
亂馬 1/2 第二季,1770,13-24,2025,秋,喵萌奶茶屋
胖子與愛情以及過錯！,1761,1-12,2025,秋,
異世界四重奏 第三季,1778,1-11,2025,秋,
小手指同學，請別亂摸,1754,1-12,2025,秋,
轉生後的我成了英雄爸爸和精靈媽媽的女兒,1755,1-12,2025,秋,
Gachiakuta,1700,1-24,2025,夏,
機械女僕·瑪麗,1753,1-12,2025,秋,
朋友的妹妹只纏著我,1750,1-12,2025,秋,
末世二輪之旅,1748,1-12,2025,秋,
貫徹輔助魔法支援弱小隊友的宮廷魔法師，慘遭驅逐後目標成為最強冒險者,1747,1-12,2025,秋,
最後可以再拜託您一件事嗎？,1743,1-13,2025,秋,
野原廣志 午餐的流派,1741,1-12,2025,秋,
差點在迷宮深處被信任的夥伴殺掉，但靠著天賜技能「無限扭蛋」獲得等級9999的夥伴，我要向前隊友和世界展開復仇&「給他們好看！」,1774,1-12,2025,秋,
"<a href=""https://anime1.pw/?cat=54"">罪惡之淵</a>",0,1-8,2025,秋,桜都
阿爾瑪醬想成為家人,1772,1-11,2025,秋,三明治擺爛組
魔法藥水救救我,1738,1-12,2025,秋,
惡食千金與狂血公爵～那個魔物我就美美地享用了！～,1737,1-12,2025,秋,
雙人單身露營,1715,1-24,2025,夏,
永遠的黃昏,1731,1-12,2025,秋,
不中用的前輩。,1767,1-12,2025,秋,
